placement_token,flight_id,CPM,fill_rate,maxTime,averageRespFailTime,averageRespSuccTime,stdDevFailTime,stdDevSuccTime
05fb7303dfb23eed361fc53c,4579,1.49,0.073,2.0,0.54641024,0.39373565,0.18522137,0.00840021
05fb7303dfb23eed361fc53c,3029,0.95,0.0354,2.0,0.53828517,0.66268742,0.18929007,0.13998313
05fb7303dfb23eed361fc53c,3028,1.63,0.0239,2.0,0.51781651,0.54360402,0.21511897,0.17499649
05fb7303dfb23eed361fc53c,4326,0.49,0.0393,2.0,0.51448722,0.38722801,0.1930866,0.1930866
05fb7303dfb23eed361fc53c,3031,0.83,0.0307,2.0,0.41411991,0.60286915,0.19106391,0.05613783
114d876cfbfa3fce78991a84,3030,1.22,0.0074,2.0,0.42940611,0.75495791,0.2047179,0.2047179
114d876cfbfa3fce78991a84,3031,0.83,0.0106,2.0,0.49093633,0.56047702,0.18181765,0.18181765
114d876cfbfa3fce78991a84,3028,1.63,0.0125,2.0,0.56780781,0.37132096,0.19683836,0.19683836
114d876cfbfa3fce78991a84,4557,0.05,0.0145,2.0,0.16029846,0.67079592,0.01089316,0.01089316
1850058ee80d91ef589ff2c7,3028,1.63,0.0148,2.0,0.61539971,0.8620069,0.16609316,0.16609316
1bd5c06bc6c4e07b59c73b82,3353,1.1,0.6126,2.0,0.50949409,0.36062443,0.19187274,0.02544239
27256cc78bbedaa3c6ae6948,3028,1.63,0.0276,2.0,0.62524176,0.41146898,0.20503491,0.20503491
27256cc78bbedaa3c6ae6948,3029,0.95,0.0426,2.0,0.47938808,0.71756887,0.19928978,0.19928978
29ddb8f1e6610d698e8bb7c3,3029,0.95,0.0346,2.0,0.42150116,0.74182796,0.16526075,0.16526075
29ddb8f1e6610d698e8bb7c3,3034,0.72,0.2039,2.0,0.01361861,0.00943772,0.00465337,0.00248779
300634021395c08843ab9ec7,3351,1.07,0.2542,2.0,0.5759106,0.58616535,0.1979175,0.19022664
300634021395c08843ab9ec7,3029,0.95,0.0466,2.0,0.47485665,0.71550417,0.18524509,0.18524509
35a4c9c33e5f1c960eb8a546,3031,0.83,0.0145,2.0,0.34982293,0.73738599,0.18119768,0.18119768
35a4c9c33e5f1c960eb8a546,4326,0.49,0.0323,2.0,0.40778273,0.3228519,0.19967221,0.19967221
35e70a3bda4d5d7c92a90b3b,3028,1.63,0.0295,2.0,0.49540796,0.60689771,0.22644085,0.20837618
35e70a3bda4d5d7c92a90b3b,4203,0.97,0.2679,2.0,0.19871332,0.02887142,0.07125014,0.00323717
35e70a3bda4d5d7c92a90b3b,4050,0.58,0.1242,2.0,0.46233336,0.45729957,0.2393356,0.17322245
35e70a3bda4d5d7c92a90b3b,3030,1.22,0.0281,2.0,0.38657439,0.20050752,0.22809568,0.0676417
35e70a3bda4d5d7c92a90b3b,3031,0.83,0.0342,2.0,0.40490847,0.30491872,0.22549505,0.15437986
35e70a3bda4d5d7c92a90b3b,3032,0.66,0.0299,2.0,0.39603039,0.23695397,0.23154618,0.23154618
35e70a3bda4d5d7c92a90b3b,4326,0.49,0.0337,2.0,0.49164657,0.3348527,0.24296257,0.03783768
35e70a3bda4d5d7c92a90b3b,3029,0.95,0.035,2.0,0.5052629,0.54622072,0.24133068,0.18762254
35e70a3bda4d5d7c92a90b3b,4164,0.38,0.0616,2.0,0.37893937,0.7461369,0.22462217,0.22462217
36ae4469422b1245774665fe,3028,1.63,0.0358,2.0,0.50230304,0.56289554,0.16410529,0.15615575
36ae4469422b1245774665fe,3030,1.22,0.0922,2.0,0.41187814,0.30036998,0.25485816,0.25485816
36ae4469422b1245774665fe,3029,0.95,0.0431,2.0,0.46824353,0.5831455,0.16772656,0.14310509
36ae4469422b1245774665fe,3031,0.83,0.0624,2.0,0.38057752,0.24599695,0.25143443,0.25143443
4201333893c1dd3e65322877,4050,0.58,0.0326,2.0,0.51802108,0.71505785,0.19161421,0.19161421
43823aa519051d599fb3bff9,4326,0.49,0.0386,2.0,0.38431883,0.44482899,0.19339769,0.19339769
4acf8626ba7aa88fd8c98642,3028,1.63,0.0228,2.0,0.61210144,0.32127404,0.16447052,0.16447052
4acf8626ba7aa88fd8c98642,3029,0.95,0.0279,2.0,0.44703679,0.3705802,0.17311584,0.17311584
4b939afd0ce623a554d4b128,3028,1.63,0.0294,2.0,0.46744755,0.71904647,0.18082953,0.00204299
4b939afd0ce623a554d4b128,3030,1.22,0.0276,2.0,0.46133913,0.2389698,0.24591165,0.24591165
5433ab62e7274101801b7a08,3031,0.83,0.0339,2.0,0.62536907,0.13314581,0.03247646,0.03247646
5433ab62e7274101801b7a08,3034,0.72,0.1644,2.0,0.00933564,0.00795794,2.3552E-4,2.3552E-4
55d177078be5cf32e26945cf,4644,0.08,0.3249,2.0,0.45606883,0.71736884,0.20704242,0.20704242
5e112b86b54e3a8bce559e21,3028,1.63,0.0793,2.0,0.40157495,0.73228002,0.17432385,0.17432385
5e112b86b54e3a8bce559e21,4326,0.49,0.0825,2.0,0.54819703,0.32768703,0.24982224,0.24982224
7723a46e054ef3ed195ccf54,3029,0.95,0.0364,2.0,0.55789985,0.37005496,0.28174302,0.28174302
7723a46e054ef3ed195ccf54,4326,0.49,0.0443,2.0,0.36815448,0.60515547,0.33303875,0.22432299
7723a46e054ef3ed195ccf54,3031,0.83,0.0493,2.0,0.63790584,0.23649788,0.32522576,0.32522576
7b942e03f80ffbf659cc2ae5,3028,1.63,0.0186,2.0,0.51983827,0.51934254,0.20513428,0.19929544
7b942e03f80ffbf659cc2ae5,3034,0.72,0.0655,2.0,0.00981581,0.00986743,0.00227495,3.0425E-4
7b942e03f80ffbf659cc2ae5,3029,0.95,0.013,2.0,0.54099618,0.81791711,0.18949041,0.18949041
7b942e03f80ffbf659cc2ae5,4667,0.2,0.0614,2.0,0.21044064,0.21268606,0.02027074,0.02027074
7b942e03f80ffbf659cc2ae5,3234,0.57,0.0213,2.0,0.33824873,0.16225886,0.20413646,0.20413646
7b942e03f80ffbf659cc2ae5,3031,0.83,0.0143,2.0,0.42403108,0.23534393,0.23136028,0.23136028
7b942e03f80ffbf659cc2ae5,4415,0.08,0.0573,2.0,0.69216641,0.70970404,0.12567796,0.00472515
7d918a857d49ee1d809b06e5,4326,0.49,0.0752,2.0,0.71001101,0.71390104,0.19339769,0.19339769
7de34667719433ecdcab94f0,3028,1.63,0.0306,2.0,0.44006211,0.32947397,0.31915987,0.31915987
7de34667719433ecdcab94f0,4326,0.49,0.0452,2.0,0.00534451,0.71216106,0.00238635,0.00238635
7de34667719433ecdcab94f0,3029,0.95,0.0351,2.0,0.2639457,0.73482013,0.33999427,0.33999427
8156b16e789e1cd8d741aa82,4407,1.75,0.0266,2.0,0.68287106,0.88593936,0.23291873,0.2283106
8156b16e789e1cd8d741aa82,3028,1.63,0.0321,2.0,0.54191112,0.71718407,0.18993274,0.18993274
8156b16e789e1cd8d741aa82,3034,0.72,0.0216,2.0,0.02449301,0.00952702,0.17647481,0.00119011
8156b16e789e1cd8d741aa82,3345,1.3,0.0313,2.0,0.54644753,0.57547382,0.1955996,0.17062757
8156b16e789e1cd8d741aa82,4326,0.49,0.0396,2.0,0.52817379,0.36411226,0.19339769,0.24416789
8156b16e789e1cd8d741aa82,4667,0.2,0.0392,2.0,0.23669794,0.24484694,0.03651883,0.01392099
8156b16e789e1cd8d741aa82,3029,0.95,0.0242,2.0,0.55055578,0.52096093,0.19595882,0.19583519
8156b16e789e1cd8d741aa82,4653,0.11,0.0022,2.0,0.2388893,0.2621887,0.03934073,0.020646
82fece0b3fd7c0394e26eafe,3030,1.22,0.0229,2.0,0.45483745,0.57236195,0.20952997,0.20952997
82fece0b3fd7c0394e26eafe,3029,0.95,0.0163,2.0,0.48010696,0.55404107,0.1775098,0.29502858
82fece0b3fd7c0394e26eafe,3028,1.63,0.0207,2.0,0.55761395,0.37174189,0.1843055,0.02834534
82fece0b3fd7c0394e26eafe,4644,0.08,0.1909,2.0,0.53857885,0.43497968,0.20838944,0.16833233
83f5dae509db8e5458fca339,3028,1.63,0.0291,2.0,0.52069037,0.68188119,0.19979983,0.19979983
83f5dae509db8e5458fca339,3031,0.83,0.0248,2.0,0.50548628,0.25039506,0.22484547,0.22484547
83f5dae509db8e5458fca339,4672,0.5,0.9289,2.0,0.03673514,0.0173822,0.05141445,0.00267128
91041d3aa2dd384f758e7784,3030,1.22,0.0148,2.0,0.53191036,0.23652506,0.21527271,0.21527271
91041d3aa2dd384f758e7784,4326,0.49,0.0283,2.0,0.59098339,0.71544886,0.18963935,0.18963935
91041d3aa2dd384f758e7784,4667,0.2,0.0861,2.0,0.22908696,0.29356098,0.04332179,0.04332179
a1bc58b4c86d8dcd3911a1f7,3029,0.95,0.024,2.0,0.35272626,0.31771421,0.11298602,0.11298602
a1bc58b4c86d8dcd3911a1f7,3031,0.83,0.0255,2.0,0.53878298,0.62936592,0.28049524,0.28049524
a1bc58b4c86d8dcd3911a1f7,4326,0.49,0.039,2.0,0.33766826,0.35062099,0.07406259,0.02360777
a1bc58b4c86d8dcd3911a1f7,3030,1.22,0.0281,2.0,0.52394398,0.23876405,0.28481416,0.28481416
a1bc58b4c86d8dcd3911a1f7,3028,1.63,0.0095,2.0,0.38024377,0.36826301,0.1417598,0.00952263
a34460a2034597cdc10dcd0d,3028,1.63,0.0165,2.0,0.51275809,0.47209473,0.18968157,0.15377511
a34460a2034597cdc10dcd0d,3029,0.95,0.0155,2.0,0.5279906,0.50322051,0.19290454,0.19661159
a34460a2034597cdc10dcd0d,3030,1.22,0.0144,2.0,0.44479133,0.33904457,0.2072821,0.18811787
a34460a2034597cdc10dcd0d,4667,0.2,0.035,2.0,0.23910185,0.26075029,0.03306273,0.03010403
a34460a2034597cdc10dcd0d,3032,0.66,0.0148,2.0,0.42467481,0.32381661,0.20555809,0.15567483
a34460a2034597cdc10dcd0d,4326,0.49,0.0181,2.0,0.5193815,0.49015435,0.18984184,0.18003669
a34460a2034597cdc10dcd0d,4644,0.08,0.1261,2.0,0.52988114,0.56907774,0.20824921,0.19149169
a34460a2034597cdc10dcd0d,4164,0.38,0.0267,2.0,0.41950284,0.69778502,0.20252587,0.01214893
a38da4b10a0125956040fe2c,3028,1.63,0.0289,2.0,0.563869,0.61607575,0.17747366,0.16862361
a38da4b10a0125956040fe2c,3029,0.95,0.034,2.0,0.52560637,0.75628746,0.19598998,0.044658
a38da4b10a0125956040fe2c,4672,0.5,0.8742,2.0,0.01976751,0.02049729,0.00338747,0.0070129
a38da4b10a0125956040fe2c,4326,0.49,0.0415,2.0,0.58294262,0.54145217,0.17904425,0.1765708
abc984360a3f73ccde8b180d,4326,0.49,0.0365,2.0,0.60902385,0.41593885,0.1769087,0.1769087
ac62c3f2547607ba0bcf702b,3028,1.63,0.0381,2.0,0.58190766,0.73564291,0.18704075,0.18704075
ac62c3f2547607ba0bcf702b,3354,1.12,0.1739,2.0,0.47295949,0.34484561,0.17969379,0.02006849
ac62c3f2547607ba0bcf702b,3030,1.22,0.0459,2.0,0.44680961,0.55542262,0.24292754,0.02883616
ac62c3f2547607ba0bcf702b,3998,0.67,0.0275,2.0,0.45495412,0.22635162,0.25097237,0.00460556
ac62c3f2547607ba0bcf702b,4200,0.41,0.003,2.0,0.03811086,0.02614498,0.0264699,0.0264699
ac62c3f2547607ba0bcf702b,4326,0.49,0.0459,2.0,0.54351192,0.76470518,0.18809491,0.18809491
b2c8b9b8b3540c731f4ee20a,4418,1.96,0.0351,2.0,0.51176845,0.56841809,0.19749559,0.21308165
b2c8b9b8b3540c731f4ee20a,3028,1.63,0.0306,2.0,0.53244547,0.57434592,0.18874453,0.18447521
b2c8b9b8b3540c731f4ee20a,3030,1.22,0.0814,2.0,0.55179198,0.38164997,0.28294802,0.19955464
b2c8b9b8b3540c731f4ee20a,3031,0.83,0.0596,2.0,0.52436876,0.25192904,0.27014356,0.00694815
b2c8b9b8b3540c731f4ee20a,3032,0.66,0.0436,2.0,0.53492332,0.25043821,0.27863049,0.27863049
b2c8b9b8b3540c731f4ee20a,4164,0.38,0.0924,2.0,0.40586372,0.40740752,0.2051433,0.1868147
b2c8b9b8b3540c731f4ee20a,4326,0.49,0.0513,2.0,0.51501529,0.47534773,0.1947921,0.20198659
b2c8b9b8b3540c731f4ee20a,3029,0.95,0.0347,2.0,0.56049647,0.60586162,0.25258747,0.19982112
b2c8b9b8b3540c731f4ee20a,4413,0.02,0.0188,2.0,0.6948036,0.70399666,0.18245531,0.0301908
b6889a967adb9607b2e9a563,4407,1.75,0.0677,2.0,0.67512925,0.7365697,0.23978656,0.13118584
b6889a967adb9607b2e9a563,3028,1.63,0.03,2.0,0.53510656,0.48679153,0.19095128,0.17826493
b6889a967adb9607b2e9a563,3345,1.3,0.03,2.0,0.53268544,0.51121357,0.19458164,0.1719237
b6889a967adb9607b2e9a563,3029,0.95,0.033,2.0,0.53119654,0.48026923,0.18854553,0.18721855
b6889a967adb9607b2e9a563,4653,0.11,0.0989,2.0,0.23237367,0.24816613,0.02455028,0.01311182
b6889a967adb9607b2e9a563,4326,0.49,0.0472,2.0,0.53688489,0.46387544,0.18732027,0.1646307
c507f4f3c092fd0ffdbdfa75,3029,0.95,0.4,2.0,0.71599162,0.72904205,0.00298619,0.00298619
c519557263b5b85e3cc5d4da,3028,1.63,0.0272,2.0,0.47063044,0.37785494,0.21694298,0.03893116
c519557263b5b85e3cc5d4da,3030,1.22,0.0807,2.0,0.50026941,0.24958491,0.27395283,0.27395283
c519557263b5b85e3cc5d4da,4326,0.49,0.0395,2.0,0.4617465,0.36605406,0.34215705,0.34215705
cbabbea7ed59aaa61c777c3c,3030,1.22,0.0383,2.0,0.54176414,0.25662494,0.27703944,0.27703944
cbabbea7ed59aaa61c777c3c,3032,0.66,0.0092,2.0,0.27811813,0.36736107,0.03358902,0.03358902
cd824234219b1f1002aa8ae9,3028,1.63,0.0174,2.0,0.59654053,0.72218108,0.17329971,0.17329971
cd824234219b1f1002aa8ae9,4326,0.49,0.0336,2.0,0.519114,0.71367478,0.1859715,0.1859715
cd824234219b1f1002aa8ae9,3029,0.95,0.0307,2.0,0.51604483,0.48560468,0.18449379,0.16645265
cecf70589440357d1b1bdb28,3028,1.63,0.0297,2.0,0.5138257,0.60674564,0.20287777,0.17284615
cecf70589440357d1b1bdb28,4203,0.97,0.3286,2.0,0.17650137,0.32281995,0.03808458,0.03808458
cecf70589440357d1b1bdb28,3034,0.72,0.2291,2.0,0.01228701,0.00951598,0.00682354,0.00105695
cecf70589440357d1b1bdb28,4050,0.58,0.1118,2.0,0.52916779,0.59773274,0.21016951,0.17809409
cecf70589440357d1b1bdb28,3031,0.83,0.0328,2.0,0.43530244,0.56494451,0.21942541,0.04015714
cecf70589440357d1b1bdb28,3029,0.95,0.0369,2.0,0.52809697,0.45901745,0.20050219,0.18078884
cecf70589440357d1b1bdb28,4326,0.49,0.036,2.0,0.54432976,0.46820194,0.19871906,0.14513816
d689029a12ce5fad7c461743,3028,1.63,0.0421,2.0,0.456767,0.71592999,0.17062037,0.17062037
d689029a12ce5fad7c461743,3029,0.95,0.0511,2.0,0.40361396,0.40997601,0.15417462,0.15417462
d689029a12ce5fad7c461743,4164,0.38,0.3933,2.0,0.66617656,0.33354863,0.03085594,0.31450972
d689029a12ce5fad7c461743,4326,0.49,0.0511,2.0,0.48505096,0.71527314,0.20659079,0.20659079
dc679075dfe44238932d92fb,3028,1.63,0.0171,2.0,0.7161146,0.72487211,0.00897634,0.00897634
dc679075dfe44238932d92fb,3029,0.95,0.0211,2.0,0.71144819,0.47165704,0.19339769,0.19339769
e0569b9cd2b0c54ca6da10e2,3287,1.05,0.087,2.0,0.63044924,0.40957713,0.1699242,0.1699242
e28a11f8d9784cacd3014695,3030,1.22,0.0276,2.0,0.41110041,0.22877693,0.1965147,0.1965147
e28a11f8d9784cacd3014695,3029,0.95,0.0265,2.0,0.60196252,0.37397504,0.18411207,0.18411207
e28a11f8d9784cacd3014695,4326,0.49,0.0335,2.0,0.48420401,0.32108498,0.18399842,0.18399842
e47cb17b4ccc2c9dc2dd8e0e,3351,1.07,0.1252,2.0,0.58148168,0.540205,0.17676568,0.21955782
e47cb17b4ccc2c9dc2dd8e0e,4326,0.49,0.0625,2.0,0.60145654,0.37776995,0.20326183,0.20326183
eac45c130775b738ee084c09,3028,1.63,0.0389,2.0,0.55290059,0.62811565,0.18173375,0.1958564
eac45c130775b738ee084c09,3354,1.12,0.3829,2.0,0.48788787,0.6694812,0.18188323,0.15627811
eac45c130775b738ee084c09,3030,1.22,0.0583,2.0,0.48706535,0.62726307,0.27057204,0.27057204
eac45c130775b738ee084c09,4200,0.41,0.0928,2.0,0.05706712,0.07567561,0.0322851,0.04419508
eac45c130775b738ee084c09,3998,0.67,0.0814,2.0,0.42412169,0.53286997,0.19880374,0.20456539
eac45c130775b738ee084c09,3029,0.95,0.0358,2.0,0.52966045,0.82817817,0.21191412,0.21191412
fa5d1328dacefebb58319274,3028,1.63,0.0276,2.0,0.54646247,0.52101056,0.19618431,0.1836961
fa5d1328dacefebb58319274,3029,0.95,0.0336,2.0,0.55671761,0.52164698,0.20376826,0.17855566
fa5d1328dacefebb58319274,3034,0.72,0.0705,2.0,0.00983257,0.01034585,0.00271667,0.00352981
fa5d1328dacefebb58319274,3031,0.83,0.0273,2.0,0.40470692,0.40669107,0.19840927,0.23965753
fa5d1328dacefebb58319274,4326,0.49,0.0311,2.0,0.53560521,0.35283537,0.20424602,0.08086163
fa5d1328dacefebb58319274,3032,0.66,0.0186,2.0,0.39908347,0.42506798,0.20250259,0.14192968
fa5d1328dacefebb58319274,4164,0.38,0.0362,2.0,0.40378379,0.74585986,0.20527183,0.20527183
